,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
6218,37,admin.,single,secondary,no,781,no,no,cellular,20,aug,75,1,-1,0,unknown,no
223,47,blue-collar,divorced,primary,no,126,yes,no,unknown,3,jun,2456,2,-1,0,unknown,yes
3357,60,admin.,married,secondary,no,3735,no,no,cellular,22,mar,248,1,90,10,success,yes
4600,52,blue-collar,married,secondary,no,2230,no,no,cellular,29,oct,423,3,-1,0,unknown,yes
822,40,admin.,single,tertiary,no,27,no,no,cellular,20,aug,467,2,-1,0,unknown,yes
3714,41,technician,single,secondary,no,5329,no,no,cellular,14,jul,397,2,-1,0,unknown,yes
9639,41,blue-collar,single,primary,no,22,yes,no,unknown,14,may,152,1,-1,0,unknown,no
9655,39,blue-collar,married,primary,no,332,yes,no,unknown,8,may,277,3,-1,0,unknown,no
1814,32,admin.,married,secondary,no,752,yes,no,cellular,6,may,519,2,166,5,failure,yes
10006,33,technician,married,tertiary,no,16992,yes,no,unknown,29,may,58,1,-1,0,unknown,no
6482,35,entrepreneur,married,tertiary,no,-31,yes,no,cellular,21,nov,171,2,-1,0,unknown,no
5905,31,self-employed,married,secondary,no,157,yes,no,unknown,19,may,285,1,-1,0,unknown,no
1139,29,technician,single,tertiary,no,1669,no,no,cellular,3,feb,297,1,-1,0,unknown,yes
1099,29,unemployed,single,primary,no,550,no,no,cellular,29,jan,801,1,-1,0,unknown,yes
9374,35,admin.,married,secondary,no,-488,yes,no,unknown,2,jun,97,4,-1,0,unknown,no
10347,39,technician,married,tertiary,no,108,no,no,cellular,28,may,589,3,28,2,other,no
6933,36,management,married,tertiary,no,23,no,no,cellular,26,aug,133,11,-1,0,unknown,no
4371,42,technician,single,unknown,no,11115,no,no,cellular,30,apr,328,1,-1,0,unknown,yes
4322,58,management,married,tertiary,no,3342,no,no,cellular,5,feb,344,5,-1,0,unknown,yes
7810,41,blue-collar,married,secondary,no,2717,yes,yes,cellular,24,jul,559,2,-1,0,unknown,no
1312,62,management,married,secondary,no,4562,yes,no,cellular,3,mar,168,1,-1,0,unknown,yes
654,58,unemployed,married,primary,no,1183,no,no,cellular,31,jul,1721,5,-1,0,unknown,yes
9758,47,admin.,married,secondary,no,1358,yes,no,cellular,14,may,80,4,-1,0,unknown,no
9173,29,self-employed,married,tertiary,no,2305,no,no,cellular,27,may,82,2,-1,0,unknown,no
6837,30,services,single,secondary,no,438,yes,no,cellular,18,may,98,1,178,1,failure,no
4423,33,blue-collar,married,primary,no,5,yes,no,cellular,17,apr,1007,2,-1,0,unknown,yes
1173,28,services,single,primary,no,198,no,no,cellular,4,feb,976,2,-1,0,unknown,yes
6661,38,self-employed,married,secondary,no,215,yes,no,cellular,20,nov,70,1,167,1,failure,no
10557,55,unemployed,married,secondary,no,1436,yes,no,cellular,4,feb,969,2,-1,0,unknown,no
7008,48,management,married,unknown,no,0,yes,no,cellular,8,may,612,1,344,1,other,no
11140,55,services,divorced,secondary,no,2166,yes,no,unknown,28,may,23,17,-1,0,unknown,no
3565,66,management,married,unknown,no,2149,yes,no,cellular,26,may,135,2,90,11,success,yes
8446,30,blue-collar,married,primary,no,5956,yes,yes,cellular,20,nov,405,1,139,1,failure,no
11096,31,student,single,secondary,no,0,no,no,cellular,22,sep,173,1,-1,0,unknown,no
5820,31,blue-collar,married,secondary,no,2591,yes,no,cellular,20,nov,55,1,-1,0,unknown,no
7860,40,entrepreneur,single,secondary,no,5,no,yes,cellular,15,jul,117,3,-1,0,unknown,no
941,57,blue-collar,married,unknown,no,3585,no,no,telephone,14,nov,172,1,-1,0,unknown,yes
7599,29,admin.,single,secondary,no,127,yes,yes,cellular,20,apr,314,1,-1,0,unknown,no
6129,36,admin.,married,secondary,no,898,no,no,cellular,15,jul,118,5,-1,0,unknown,no
6544,38,services,single,secondary,no,0,yes,no,unknown,27,may,166,2,-1,0,unknown,no
3785,35,unemployed,single,tertiary,no,154,no,no,cellular,29,jul,200,4,181,2,failure,yes
10828,60,technician,divorced,secondary,no,-50,no,no,cellular,28,aug,433,12,-1,0,unknown,no
5478,51,blue-collar,married,secondary,no,4695,no,no,cellular,29,aug,8,10,-1,0,unknown,no
8029,48,blue-collar,single,secondary,no,8982,yes,no,unknown,14,may,628,1,-1,0,unknown,no
8799,29,services,single,secondary,no,37,no,yes,cellular,17,jul,309,2,-1,0,unknown,no
3424,22,management,single,tertiary,no,104,no,yes,cellular,16,apr,330,3,-1,0,unknown,yes
9406,32,technician,single,tertiary,no,696,no,yes,cellular,13,aug,101,4,105,4,failure,no
600,53,housemaid,married,primary,no,362,no,no,cellular,28,jul,1169,2,-1,0,unknown,yes
6018,59,retired,married,secondary,no,434,yes,no,unknown,12,may,63,3,-1,0,unknown,no
10064,58,services,married,secondary,no,818,no,no,cellular,22,aug,283,1,-1,0,unknown,no
8008,51,entrepreneur,married,primary,no,805,yes,no,cellular,8,aug,132,4,-1,0,unknown,no
6845,38,technician,single,tertiary,no,69,yes,no,cellular,13,may,253,3,-1,0,unknown,no
6258,55,management,married,secondary,no,2410,yes,no,cellular,17,nov,135,1,-1,0,unknown,no
3021,81,retired,divorced,secondary,no,452,no,no,telephone,16,dec,443,1,-1,0,unknown,yes
6200,32,management,single,tertiary,no,124,no,no,cellular,4,feb,87,2,-1,0,unknown,no
3244,26,admin.,single,tertiary,no,2532,yes,yes,cellular,18,feb,269,1,-1,0,unknown,yes
7121,57,entrepreneur,married,unknown,no,657,no,no,unknown,12,jun,344,1,-1,0,unknown,no
6586,50,technician,divorced,secondary,no,8016,no,no,cellular,17,jul,903,4,-1,0,unknown,no
9168,55,technician,married,unknown,no,1393,yes,yes,telephone,21,nov,55,5,-1,0,unknown,no
5322,26,blue-collar,single,secondary,no,592,yes,yes,unknown,27,may,174,1,-1,0,unknown,no
5152,32,management,single,tertiary,no,935,no,no,cellular,10,aug,161,2,375,5,failure,yes
1167,31,unemployed,single,secondary,no,1214,no,no,cellular,4,feb,974,1,-1,0,unknown,yes
1217,28,technician,single,tertiary,no,4987,no,no,cellular,9,feb,253,21,-1,0,unknown,yes
1416,47,unemployed,married,secondary,no,817,no,no,cellular,7,apr,721,4,-1,0,unknown,yes
10840,32,blue-collar,married,primary,no,494,yes,no,unknown,26,may,252,2,-1,0,unknown,no
6158,35,management,single,tertiary,no,995,no,no,cellular,5,feb,39,1,-1,0,unknown,no
5216,32,management,single,tertiary,no,2667,yes,no,cellular,12,aug,971,2,-1,0,unknown,yes
1988,30,admin.,single,secondary,no,315,yes,no,cellular,14,may,884,3,346,4,failure,yes
830,45,admin.,married,secondary,no,236,no,no,cellular,20,aug,703,2,-1,0,unknown,yes
7305,53,management,married,tertiary,no,37,no,no,cellular,28,aug,51,9,-1,0,unknown,no
3165,67,retired,divorced,secondary,no,704,no,no,cellular,8,feb,186,2,97,1,success,yes
3001,80,retired,married,primary,no,155,no,no,telephone,9,dec,343,2,-1,0,unknown,yes
11142,52,admin.,divorced,secondary,no,48,no,yes,cellular,17,nov,591,1,-1,0,unknown,no
6940,77,retired,married,tertiary,no,1047,no,no,cellular,30,jun,108,5,-1,0,unknown,no
5998,51,housemaid,married,unknown,no,2337,yes,no,cellular,27,may,133,2,41,5,success,no
4344,45,blue-collar,married,secondary,no,154,yes,no,unknown,7,may,1138,1,-1,0,unknown,yes
2081,32,technician,single,tertiary,no,2684,yes,no,cellular,18,may,542,2,-1,0,unknown,yes
2819,33,management,married,tertiary,no,5878,no,no,cellular,23,oct,438,1,430,2,failure,yes
9460,36,blue-collar,married,primary,no,156,yes,no,cellular,21,nov,219,2,-1,0,unknown,no
3472,37,management,married,secondary,no,565,no,no,cellular,29,apr,449,1,398,1,success,yes
3728,29,student,single,secondary,no,658,no,no,cellular,15,jul,198,2,244,4,other,yes
561,51,blue-collar,married,primary,no,603,yes,no,cellular,24,jul,853,2,-1,0,unknown,yes
9230,42,management,married,tertiary,no,24780,no,no,cellular,6,aug,184,2,-1,0,unknown,no
8908,59,unemployed,single,secondary,no,865,no,no,cellular,4,feb,1086,1,-1,0,unknown,no
1060,40,admin.,married,primary,no,72,yes,yes,cellular,21,nov,849,1,-1,0,unknown,yes
5812,32,blue-collar,single,primary,no,1426,yes,no,cellular,20,nov,114,1,-1,0,unknown,no
3942,37,management,single,tertiary,no,698,no,no,cellular,8,sep,1081,2,-1,0,unknown,yes
4250,53,technician,divorced,tertiary,no,2228,no,no,cellular,17,nov,890,1,-1,0,unknown,yes
2934,39,admin.,married,secondary,no,260,yes,no,cellular,13,nov,226,1,94,4,success,yes
4982,59,services,married,secondary,no,2965,yes,no,cellular,13,may,1970,3,-1,0,unknown,yes
7876,42,admin.,single,unknown,no,22,no,no,unknown,19,jun,246,3,-1,0,unknown,no
8328,44,management,married,secondary,no,0,no,no,cellular,21,aug,167,2,-1,0,unknown,no
2793,87,retired,divorced,primary,no,6746,no,no,telephone,21,oct,749,1,-1,0,unknown,yes
3331,39,management,married,tertiary,no,494,no,no,cellular,10,mar,106,2,478,3,failure,yes
4778,32,self-employed,married,secondary,no,514,yes,no,cellular,11,jul,812,1,-1,0,unknown,yes
2942,56,retired,married,primary,no,9367,no,no,telephone,13,nov,271,2,92,4,success,yes
625,52,unemployed,married,primary,no,959,no,no,telephone,30,jul,694,2,-1,0,unknown,yes
9215,47,blue-collar,married,primary,no,209,no,no,cellular,27,aug,77,6,-1,0,unknown,no
5619,24,student,single,unknown,no,782,no,no,cellular,4,may,12,7,91,1,other,no
5326,52,technician,married,secondary,no,475,yes,no,cellular,28,jul,121,3,-1,0,unknown,no
1620,24,services,single,unknown,no,2022,no,no,cellular,23,apr,159,4,-1,0,unknown,yes
5715,36,technician,married,secondary,no,1466,yes,no,unknown,29,may,441,1,-1,0,unknown,no
3436,25,student,single,unknown,no,722,no,no,telephone,21,apr,623,2,-1,0,unknown,yes
7839,30,services,single,primary,no,5746,yes,no,telephone,20,nov,125,2,-1,0,unknown,no
10427,49,blue-collar,married,secondary,no,141,no,no,cellular,6,aug,275,1,-1,0,unknown,no
6795,52,technician,married,unknown,no,425,yes,no,cellular,28,jan,219,2,254,3,failure,no
2245,25,blue-collar,single,secondary,no,389,no,no,cellular,3,jun,837,1,-1,0,unknown,yes
1598,41,unknown,single,unknown,no,942,no,no,cellular,22,apr,219,1,-1,0,unknown,yes
6293,40,blue-collar,married,primary,no,236,yes,no,unknown,20,may,167,2,-1,0,unknown,no
2158,44,management,married,tertiary,no,7818,no,no,cellular,27,may,412,1,-1,0,unknown,yes
9690,33,management,single,secondary,no,0,no,no,unknown,20,may,190,2,-1,0,unknown,no
4506,34,admin.,married,secondary,no,2374,yes,no,cellular,9,nov,161,1,209,2,failure,yes
3582,28,blue-collar,single,secondary,no,-46,yes,no,cellular,1,jun,154,2,91,12,success,yes
3259,37,unemployed,married,tertiary,no,7620,no,no,telephone,23,feb,367,1,176,6,failure,yes
10907,55,admin.,married,secondary,no,-2,no,no,cellular,28,aug,76,1,-1,0,unknown,no
956,31,admin.,single,secondary,no,19,yes,no,cellular,18,nov,1978,1,-1,0,unknown,yes
175,30,blue-collar,married,secondary,no,486,yes,no,unknown,29,may,1109,3,-1,0,unknown,yes
533,36,management,divorced,tertiary,no,81,no,yes,cellular,22,jul,560,1,-1,0,unknown,yes
3042,33,management,married,tertiary,no,1808,no,no,cellular,28,dec,250,3,-1,0,unknown,yes
5684,45,blue-collar,married,secondary,no,521,yes,no,unknown,17,jun,259,3,-1,0,unknown,no
9233,57,admin.,divorced,secondary,no,3100,no,yes,cellular,29,jul,165,2,-1,0,unknown,no
5453,60,management,married,secondary,no,0,no,no,cellular,20,may,321,4,87,8,failure,no
9252,32,blue-collar,divorced,secondary,no,880,yes,yes,unknown,4,jun,112,1,-1,0,unknown,no
6086,55,unemployed,married,tertiary,no,5345,no,no,unknown,6,may,278,1,-1,0,unknown,no
1893,39,management,single,tertiary,no,5073,yes,no,cellular,12,may,1182,1,286,4,failure,yes
4620,46,blue-collar,married,primary,no,977,no,yes,telephone,2,feb,436,3,-1,0,unknown,yes
10846,49,services,single,secondary,no,1884,yes,no,cellular,8,may,43,1,-1,0,unknown,no
9332,35,admin.,single,secondary,no,368,yes,no,unknown,16,may,218,3,-1,0,unknown,no
8911,40,blue-collar,divorced,secondary,no,0,yes,no,unknown,6,may,121,2,-1,0,unknown,no
7549,38,management,divorced,tertiary,no,162,no,no,cellular,25,aug,323,4,-1,0,unknown,no
9804,33,management,married,tertiary,no,2044,yes,no,cellular,15,may,102,3,177,1,failure,no
4525,39,technician,single,secondary,no,1022,yes,no,unknown,20,may,1410,2,-1,0,unknown,yes
3211,34,management,single,tertiary,no,13014,no,no,cellular,12,feb,637,1,183,1,success,yes
10147,56,entrepreneur,married,tertiary,no,-124,yes,no,unknown,15,may,374,5,-1,0,unknown,no
1661,33,admin.,married,secondary,no,95,yes,no,cellular,30,apr,335,1,-1,0,unknown,yes
8229,32,blue-collar,married,primary,no,274,yes,no,unknown,9,may,21,3,-1,0,unknown,no
11075,41,management,married,tertiary,no,3872,no,no,cellular,15,oct,231,1,-1,0,unknown,no
7591,38,management,single,tertiary,no,633,no,no,cellular,9,jul,171,3,-1,0,unknown,no
3977,29,management,married,tertiary,no,247,no,no,cellular,16,sep,143,2,587,3,failure,yes
7379,29,services,single,secondary,no,192,no,no,cellular,30,jan,327,4,-1,0,unknown,no
8767,44,blue-collar,single,secondary,no,-435,yes,no,unknown,27,may,141,2,-1,0,unknown,no
8837,31,blue-collar,single,secondary,no,23,no,no,cellular,21,nov,116,1,-1,0,unknown,no
5768,55,retired,married,primary,no,2,no,no,unknown,27,jun,392,4,-1,0,unknown,no
10669,28,blue-collar,single,primary,no,442,no,no,cellular,30,jan,157,2,-1,0,unknown,no
6433,54,management,married,tertiary,no,0,no,yes,cellular,19,nov,307,3,-1,0,unknown,no
8551,33,technician,married,secondary,no,264,no,no,cellular,28,aug,180,4,-1,0,unknown,no
1537,74,retired,married,secondary,no,921,no,no,telephone,17,apr,394,2,-1,0,unknown,yes
3383,45,technician,married,secondary,no,1348,no,yes,cellular,1,apr,358,2,-1,0,unknown,yes
2403,22,student,single,secondary,no,185,no,no,cellular,8,jul,153,1,-1,0,unknown,yes
4003,29,unemployed,single,secondary,no,1055,no,no,cellular,23,sep,427,1,603,1,failure,yes
3675,46,management,divorced,tertiary,no,558,no,no,cellular,6,jul,319,1,-1,0,unknown,yes
691,47,technician,married,secondary,no,2480,no,no,cellular,6,aug,763,2,-1,0,unknown,yes
9897,32,admin.,married,secondary,no,1661,yes,no,cellular,5,feb,76,1,209,2,failure,no
1123,59,retired,single,secondary,no,2,no,no,telephone,2,feb,935,1,-1,0,unknown,yes
5508,28,management,single,tertiary,no,203,no,no,cellular,29,jan,145,2,-1,0,unknown,no
4188,60,unemployed,married,primary,no,0,no,no,cellular,22,jul,1193,1,412,1,other,yes
10654,49,technician,married,tertiary,no,-888,no,yes,cellular,21,jul,298,1,-1,0,unknown,no
2054,32,technician,single,secondary,no,230,yes,no,cellular,18,may,442,1,266,8,failure,yes
2571,35,management,single,tertiary,no,1756,no,no,cellular,20,aug,195,1,-1,0,unknown,yes
8164,31,management,single,tertiary,no,0,yes,yes,cellular,14,may,117,3,352,3,failure,no
2978,36,admin.,divorced,tertiary,no,4708,no,no,cellular,3,dec,284,1,171,1,failure,yes
6819,32,services,married,secondary,no,-344,no,yes,cellular,4,feb,44,1,-1,0,unknown,no
10127,42,services,single,unknown,no,410,no,no,cellular,21,nov,34,2,-1,0,unknown,no
1856,42,management,married,tertiary,no,4,yes,no,cellular,8,may,579,2,295,1,success,yes
9580,28,services,single,secondary,no,159,yes,no,telephone,12,may,345,2,-1,0,unknown,no
4544,64,management,married,tertiary,no,3951,no,no,cellular,28,jan,134,1,91,1,success,yes
459,30,blue-collar,single,primary,no,0,no,no,cellular,15,jul,716,3,-1,0,unknown,yes
4651,32,management,divorced,tertiary,no,874,no,no,cellular,12,aug,1282,6,-1,0,unknown,yes
7292,29,services,single,secondary,no,20,yes,no,unknown,15,may,431,1,-1,0,unknown,no
734,33,management,single,tertiary,no,1120,no,no,cellular,11,aug,1070,2,-1,0,unknown,yes
6335,29,admin.,single,secondary,no,-194,yes,no,cellular,7,may,127,1,-1,0,unknown,no
10110,23,admin.,married,secondary,no,299,yes,no,unknown,19,jun,104,1,-1,0,unknown,no
10420,33,technician,married,secondary,no,8,no,no,cellular,29,aug,462,2,-1,0,unknown,no
10034,32,technician,single,secondary,no,719,yes,no,unknown,28,may,79,6,-1,0,unknown,no
8447,35,technician,single,tertiary,no,122,no,no,cellular,20,apr,49,5,328,5,failure,no
3748,35,admin.,single,secondary,no,321,no,no,cellular,21,jul,143,1,412,3,other,yes
5542,57,housemaid,married,primary,no,2234,no,no,unknown,11,jun,201,5,-1,0,unknown,no
2052,40,admin.,single,secondary,no,2040,yes,no,cellular,18,may,906,2,350,2,failure,yes
1797,31,blue-collar,single,secondary,no,196,yes,no,cellular,5,may,568,1,341,7,failure,yes
6969,30,technician,single,secondary,no,151,no,no,cellular,3,feb,276,2,-1,0,unknown,no
7018,47,blue-collar,married,secondary,no,665,no,no,cellular,18,aug,885,3,-1,0,unknown,no
2726,37,management,single,tertiary,no,1027,yes,no,cellular,1,oct,137,1,119,1,failure,yes
8425,37,services,married,secondary,no,393,yes,yes,cellular,13,may,95,1,357,1,failure,no
8130,39,self-employed,married,secondary,no,4722,yes,no,unknown,17,jun,483,1,-1,0,unknown,no
428,25,blue-collar,single,primary,no,2483,no,no,cellular,10,jul,1499,3,-1,0,unknown,yes
10982,40,management,married,secondary,no,8486,no,no,unknown,6,may,260,3,-1,0,unknown,no
134,30,technician,married,tertiary,no,541,yes,no,unknown,26,may,414,2,-1,0,unknown,yes
674,42,technician,married,tertiary,no,921,no,no,cellular,5,aug,531,3,-1,0,unknown,yes
447,51,services,divorced,secondary,no,242,no,yes,cellular,14,jul,1336,4,-1,0,unknown,yes
10529,48,entrepreneur,married,secondary,no,4037,no,no,unknown,6,jun,23,1,-1,0,unknown,no
10376,57,management,married,tertiary,no,1172,yes,no,cellular,20,nov,72,1,-1,0,unknown,no
4610,45,blue-collar,married,secondary,no,7895,yes,no,cellular,4,feb,872,1,-1,0,unknown,yes
6217,56,management,married,tertiary,no,0,no,no,cellular,19,nov,844,2,-1,0,unknown,no
6852,47,technician,married,secondary,no,2283,yes,no,cellular,21,nov,170,2,-1,0,unknown,no
8297,81,retired,divorced,primary,no,4321,no,no,cellular,11,aug,163,3,-1,0,unknown,no
10699,29,services,married,secondary,no,3748,no,no,cellular,28,may,322,3,-1,0,unknown,no
5451,39,entrepreneur,married,tertiary,no,2644,yes,no,unknown,20,may,253,1,-1,0,unknown,no
4280,32,student,married,secondary,no,1536,no,no,cellular,7,aug,289,2,-1,0,unknown,yes
6111,49,management,married,secondary,no,104,yes,no,unknown,8,may,285,1,-1,0,unknown,no
4479,40,management,single,tertiary,no,3840,yes,no,cellular,24,sep,232,2,409,2,success,yes
10439,58,retired,divorced,secondary,no,0,no,no,unknown,17,jun,436,5,-1,0,unknown,no
3882,26,unemployed,single,secondary,no,632,no,no,cellular,12,aug,312,3,181,1,success,yes
6003,26,technician,married,tertiary,no,8,yes,yes,unknown,13,may,262,2,-1,0,unknown,no
220,23,services,single,secondary,no,425,yes,no,unknown,3,jun,768,1,-1,0,unknown,yes
851,43,technician,married,secondary,no,136,no,no,cellular,25,aug,363,7,-1,0,unknown,yes
1177,38,technician,married,tertiary,no,4383,no,no,cellular,4,feb,1381,4,-1,0,unknown,yes
7040,38,admin.,divorced,secondary,no,0,no,no,unknown,5,jun,56,1,-1,0,unknown,no
1315,56,retired,married,tertiary,no,281,no,no,cellular,3,mar,96,2,-1,0,unknown,yes
6611,44,blue-collar,married,tertiary,no,2185,yes,no,unknown,16,may,698,1,-1,0,unknown,no
4673,53,services,divorced,primary,no,-291,yes,yes,unknown,7,may,591,1,-1,0,unknown,yes
5438,41,management,married,tertiary,no,-29,no,no,cellular,29,jan,41,2,266,2,failure,no
11123,31,services,married,secondary,no,428,yes,no,unknown,21,may,272,1,-1,0,unknown,no
6355,40,management,single,tertiary,no,1509,no,no,cellular,12,may,333,1,58,3,failure,no
3568,39,unemployed,divorced,secondary,no,265,yes,no,unknown,27,may,93,1,555,2,other,yes
1755,41,blue-collar,married,secondary,no,5060,no,no,cellular,4,may,963,1,83,3,success,yes
2041,36,services,single,secondary,no,0,yes,no,cellular,15,may,1002,4,-1,0,unknown,yes
2785,54,technician,married,secondary,no,3994,no,yes,cellular,20,oct,595,2,187,2,success,yes
7851,23,blue-collar,single,secondary,no,0,yes,no,cellular,8,may,6,5,350,2,failure,no
4862,25,student,single,secondary,no,108,no,no,cellular,29,apr,305,3,-1,0,unknown,yes
3526,50,admin.,married,secondary,no,3608,yes,no,cellular,14,may,196,8,182,4,success,yes
8011,34,technician,married,tertiary,no,100,no,no,cellular,20,aug,196,2,-1,0,unknown,no
7829,38,blue-collar,married,secondary,no,0,no,no,unknown,20,jun,152,5,-1,0,unknown,no
115,37,technician,single,secondary,no,1211,yes,no,unknown,21,may,795,1,-1,0,unknown,yes
10794,45,management,married,primary,no,321,yes,no,cellular,30,jul,918,4,-1,0,unknown,no
2296,53,management,divorced,tertiary,no,380,no,yes,cellular,5,jun,438,2,-1,0,unknown,yes
8412,31,services,single,secondary,no,8,no,no,cellular,7,jul,340,3,-1,0,unknown,no
7516,26,management,single,tertiary,no,-8,no,no,cellular,13,aug,402,2,-1,0,unknown,no
7872,25,services,single,tertiary,no,130,yes,no,cellular,16,jul,49,1,-1,0,unknown,no
2095,59,management,married,tertiary,no,2239,no,no,cellular,22,may,431,1,-1,0,unknown,yes
4381,31,management,married,tertiary,no,1812,no,no,cellular,30,apr,461,1,-1,0,unknown,yes
2400,55,management,married,unknown,no,3122,no,no,cellular,8,jul,349,1,-1,0,unknown,yes
9650,38,technician,married,secondary,no,20,no,no,cellular,2,feb,147,1,-1,0,unknown,no
4203,34,technician,married,secondary,no,0,yes,no,cellular,5,aug,231,2,2,3,success,yes
5679,63,retired,divorced,primary,no,1840,no,no,cellular,12,mar,71,3,-1,0,unknown,no
5248,37,management,married,tertiary,no,0,no,no,cellular,16,jul,268,2,182,3,success,yes
8855,46,management,married,secondary,no,5559,no,no,unknown,17,jun,483,1,-1,0,unknown,no
550,47,technician,single,secondary,no,1101,yes,no,cellular,23,jul,957,3,-1,0,unknown,yes
7933,59,admin.,divorced,secondary,no,1525,no,no,telephone,29,jul,90,2,-1,0,unknown,no
2702,29,management,single,tertiary,no,874,yes,no,cellular,16,sep,152,1,103,1,success,yes
4177,30,services,single,tertiary,no,1788,no,no,cellular,4,aug,288,1,181,2,failure,yes
6348,35,unemployed,married,secondary,no,759,no,no,cellular,19,nov,556,3,-1,0,unknown,no
10892,33,management,single,tertiary,no,275,no,no,cellular,18,nov,348,1,-1,0,unknown,no
9409,31,management,single,tertiary,no,-173,yes,no,unknown,6,may,396,2,-1,0,unknown,no
5932,47,blue-collar,married,primary,no,2,yes,yes,cellular,20,nov,661,4,190,1,failure,no
5665,42,services,married,secondary,no,1165,yes,no,cellular,18,may,485,6,-1,0,unknown,no
5834,41,unknown,married,unknown,no,779,no,no,cellular,30,jul,647,10,-1,0,unknown,no
4984,35,management,divorced,tertiary,no,6997,yes,no,cellular,9,jul,1121,1,-1,0,unknown,yes
7849,28,blue-collar,married,secondary,no,948,yes,no,unknown,9,may,455,1,-1,0,unknown,no
7291,29,technician,single,secondary,no,1395,yes,no,unknown,26,may,61,1,-1,0,unknown,no
4036,30,management,single,tertiary,no,502,no,no,cellular,11,oct,463,3,95,6,success,yes
85,27,technician,single,tertiary,no,3706,yes,no,unknown,16,may,897,1,-1,0,unknown,yes
2354,44,blue-collar,married,secondary,no,88,yes,no,cellular,2,jul,275,1,-1,0,unknown,yes
4904,34,blue-collar,divorced,secondary,no,383,yes,no,unknown,13,may,2231,1,-1,0,unknown,yes
2311,40,self-employed,single,tertiary,no,10346,no,no,cellular,15,jun,491,2,207,1,other,yes
